ID,Petitioner f0_std,Respondents f0_std
1993.92-1856,169.88,155.19
1993.93-180,158.45,147.59
1993.92-1196,-1,-1
1993.92-938,-1,-1
1993.92-757,117.51,132.83
1993.92-1402,200.38,134.12
1993.92-1964,-1,-1
1993.92-741,120.69,136.9
1993.92-6921,120.86,127.25
1993.92-1223,-1,-1
1993.93-141,132.62,133.63
1993.92-1074,154.4,156.69
1993.92-1123,137.77,126.65
1993.92-1292,125.64,158.86
1993.92-1239,140.3,191.46
1993.92-74,186.76,128.43
1993.92-1180,-1,-1
1993.92-7549,204.2,141.53
1993.93-609,147.63,124.48
1993.93-644,146.05,156.73
1993.93-284,173.5,133.46
1993.92-1370,166.15,153.99
1993.92-6281,-1,-1
1993.92-1550,105.81,128.26
1993.92-8841,116.87,132.55
1993.92-1911,132.2,240.5
1993.92-1920,144.94,135.84
1993.92-1639,143.01,140.63
1993.92-896,111.82,127.53
1993.92-1168,136.72,140.3
1993.93-5209,192.37,151.62
1993.92-8894,134.52,159.74
1993.93-5418,140.81,137.48
1993.93-670,163.89,146.46
1993.92-1812,138.59,154.85
1993.93-517,171.58,161.13
1993.93-5256,143.02,133.93
1993.92-1941,115.49,161.2
1993.92-833,135.03,126.58
1993.92-1750,150.45,191.47
1993.92-1479,148.43,177.86
1993.93-263,131.54,147.97
1993.92-1500,156.09,134.22
1993.92-780,202.52,144.63
1993.92-2058,149.36,258.06
1993.93-376,187.87,138.7
1993.92-97,135.82,119.4
1993.92-1956,135.73,205.83
1993.93-44,151.66,149.99
1993.93-397,154.5,141.12
1993.93-356,126.41,151.12
1993.93-377,142.01,128.76
1993.92-1482,152.17,152.77
1993.92-1510,-1,-1
1993.93-518,137.79,126.15
1993.93-5131,201.67,183.09
1993.93-120,151.97,201.89
1993.92-1441,202.18,115.8
1993.92-903,172.9,148.98
1993.92-8579,153.4,130.32
1993.93-744,115.9,131.73
1993.92-989,142.67,115.82
1993.92-1384,231.01,144.5
1993.93-445,-1,-1
1993.93-880,182.78,133.92
1993.93-6497,238.16,208.61
